City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Luanda,AO,86,few clouds,-8.8368,13.2343,EPIC SANA Luanda
203,San+Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
211,Kasongo,CD,73.76,light rain,-4.45,26.6667,Guest Hôtel
213,Kalmunai,LK,77.7,broken clouds,7.4167,81.8167,VS Villa
216,Muisne,EC,80.6,light rain,0.6,-80.0333,Quinta Samay
217,Manali,IN,77,haze,13.1667,80.2667,Sarathy Lodge
219,Kruisfontein,ZA,71.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
220,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
221,Rocha,UY,84.7,light rain,-34.4833,-54.3333,Beleza Pura B&B
229,Kavaratti,IN,81.41,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
230,Tutoia,BR,89.6,few clouds,-2.7619,-42.2744,Pousada Guará's
231,Arica,CL,75.2,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
239,Zambezi,ZM,73.31,light rain,-13.5432,23.1047,Royal Kutachika Lodge
240,Sakaraha,MG,71.55,light rain,-22.9,44.5333,Le Relais
241,Sao+Jose+Da+Coroa+Grande,BR,83.46,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
247,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
248,Toamasina,MG,82.4,light rain,-18.1667,49.3833,Hotel H1
251,Acarau,BR,87.13,broken clouds,-2.8856,-40.12,castelo pizzaria
253,Edea,CM,87.8,scattered clouds,3.8,10.1333,Micotel Hotel
255,Key+West,US,75,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
257,Yataity,PY,79.84,overcast clouds,-26.3667,-56.0667,Cristhian Ortigoza
259,Natal,BR,87.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
260,El+Vigia,VE,84.07,clear sky,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
261,Vilhena,BR,83.03,overcast clouds,-12.7406,-60.1458,Hotel Mirage
263,Miranda,CO,86,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
265,Katakwi,UG,84.36,overcast clouds,1.8911,33.9661,Ebenezer Guest House
