City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Iralaya,HN,82.4,few clouds,15.0,-83.2333,Iglesia morava renovada
437,Tambura,SS,73.72,clear sky,5.6,27.4667,Rikito Lodge
438,Tsabong,BW,82.24,few clouds,-26.0217,22.401,Springbok Motel
439,Ilo,PE,73.44,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
443,Cururupu,BR,83.43,broken clouds,-1.8283,-44.8683,Pousada Través'cia
445,Tamandare,BR,80.13,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
447,Sambava,MG,78.21,scattered clouds,-14.2667,50.1667,Melrose
449,Prado,BR,80.06,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
459,Karwar,IN,74.7,clear sky,14.8,74.1333,Netalco Connects
465,Forecariah,GN,76.48,clear sky,9.4306,-13.0881,"Motel "" La Maison Blanche"""
466,Dubai,AE,71.01,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
467,Barra+Do+Bugres,BR,88.09,broken clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
468,Japura,ID,72.03,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
470,Eyl,SO,72.81,few clouds,7.9803,49.8164,Amiin Hotel
479,San+Pedro,PH,72.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
481,Barranca,PE,76.44,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
484,Kariba,ZW,72.81,light rain,-16.5167,28.8,Caribbea Bay Hotel
485,Contamana,PE,82.04,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
487,Parrita,CR,78.8,few clouds,9.5201,-84.3225,Beso del Viento
491,Urucara,BR,85.44,few clouds,-2.5364,-57.76,Hotel japa
492,Tela,HN,84.2,broken clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
493,Kasangulu,CD,75.2,scattered clouds,-4.5911,15.1708,Hôtel le Relais
495,Tete,MZ,80.01,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
496,Touros,BR,82.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
499,Mango,US,73.99,scattered clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
500,Abeokuta,NG,71.6,haze,7.15,3.35,Park Inn by Radisson Abeokuta
505,Impfondo,CG,75.51,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
507,Cozumel,MX,78.8,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
511,Oistins,BB,82.4,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
513,Puerto+Ayora,EC,86.0,clear sky,-0.7393,-90.3518,Castillo Galapagos
515,Nouakchott,MR,78.8,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
516,Wamba,NG,78.67,clear sky,8.9333,8.6,Roma Zee Guest House Annex
517,Bandundu,CD,73.6,overcast clouds,-3.3167,17.3667,Coja Color
520,Sabya,SA,77.0,few clouds,17.1495,42.6254,Aseel Hotel Apartment
521,Pitimbu,BR,82.4,few clouds,-7.4706,-34.8086,Reserva do Abiaí
523,Mineiros,BR,79.11,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
527,Banda+Aceh,ID,76.66,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
533,Salvador,SV,87.8,scattered clouds,13.8333,-88.9167,Chico's Ranch
534,Buritis,BR,82.27,overcast clouds,-15.6178,-46.4233,Hotel Rainha do Vale
541,Galle,LK,78.03,overcast clouds,6.0367,80.217,Amangalla
544,Inongo,CD,75.43,overcast clouds,-1.95,18.2667,Hotel Du Lac
552,San+Antonio,US,73.4,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
556,Morant+Bay,JM,87.8,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
557,Bani,DO,81.0,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
560,Beira,MZ,82.4,few clouds,-19.8436,34.8389,Beira Terrace Hotel
561,Rio+Verde+De+Mato+Grosso,BR,84.56,overcast clouds,-18.9181,-54.8442,Hotel Valência
562,Catumbela,AO,76.84,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
564,Road+Town,VG,75.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
567,Rosita,NI,85.62,clear sky,13.9268,-84.4032,Hospedaje Osejo
569,Neira,CO,86.0,scattered clouds,5.1665,-75.52,Hotel Neira
570,Chimore,BO,78.13,overcast clouds,-16.9833,-65.1333,Bichito
572,Vilhena,BR,77.0,broken clouds,-12.7406,-60.1458,Hotel Mirage
574,Ballina,AU,73.4,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
575,Pepel,SL,78.48,clear sky,8.5817,-13.0628,Tasso Ecotourism Project
578,Sao+Luiz+Gonzaga,BR,78.51,overcast clouds,-28.4083,-54.9608,Xerife Hotel
580,Hobe+Sound,US,70.0,broken clouds,27.0595,-80.1364,Floridays RV Park
581,Bandrele,YT,78.8,few clouds,-12.9067,45.1914,Les Baobabs
583,Tahoua,NE,72.12,broken clouds,14.8888,5.2692,Bungalows Guesthouse
584,Itarema,BR,83.55,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
586,Douentza,ML,72.23,clear sky,14.9951,-2.9517,Ogomono Doumbo
587,Kavaratti,IN,80.94,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
591,Parambu,BR,77.83,overcast clouds,-6.2111,-40.6944,Hotel pousada santo onofre
596,Guantanamo,CU,82.4,scattered clouds,20.1444,-75.2092,Hotel Marti
597,Avanigadda,IN,70.39,overcast clouds,16.0215,80.9181,AP Camping
598,Huarmey,PE,77.4,broken clouds,-10.0681,-78.1522,Hotel Miramar
599,Sao+Lourenco+Do+Sul,BR,80.6,moderate rain,-31.3653,-51.9783,Hotel Pousada Verde Água
600,Loubomo,CG,72.5,light rain,-4.1997,12.6739,La Dolisienne
601,Maceio,BR,80.6,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
604,Stephenville,US,73.4,clear sky,32.2207,-98.2023,Holiday Inn Express & Suites Stephenville
607,Dennery,LC,84.2,few clouds,13.8996,-60.8879,The Fox Grove Inn
608,Floriano,BR,81.25,overcast clouds,-6.7669,-43.0225,Hotel Maktub
614,Harper,LR,78.57,scattered clouds,4.375,-7.7169,Screensaver
617,Alvorada,BR,86.56,overcast clouds,-12.48,-49.1247,Cristal Plaza Hotel
622,Ibatiba,BR,76.64,few clouds,-20.2339,-41.5106,Hotel Nacional Ibatiba
630,Ambanja,MG,75.72,light rain,-13.6833,48.45,Hotel Salama and Fast Food
632,Rio+Grande,BR,80.6,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
636,Warri,NG,81.25,clear sky,5.5167,5.75,BON Hotel Delta
637,Boffa,GN,76.01,clear sky,10.1667,-14.0333,Hôtel Niara Belly
642,Tarata,BO,75.0,clear sky,-17.6167,-66.0167,Alojamiento IV Centenario
649,Farafangana,MG,79.43,light rain,-22.8167,47.8333,Miarina
654,Yumbe,UG,79.05,broken clouds,3.4651,31.2469,Terrain Hotel
659,Vallenar,CL,86.81,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
661,Sharjah,AE,71.01,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
664,Altamira,BR,80.6,scattered clouds,-3.2033,-52.2064,Requinte Hotel
665,Alpinopolis,BR,82.49,broken clouds,-20.8636,-46.3881,Hotel Ventania
667,Mozarlandia,BR,87.91,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
678,Yambio,SS,76.08,clear sky,4.5721,28.3955,Naivasha Hotel
679,Faranah,GN,79.88,clear sky,10.0404,-10.7434,Chez mon oncle
681,Mahibadhoo,MV,80.87,few clouds,3.7833,72.9667,Omadhoo Inn
682,Sumbe,AO,76.75,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
683,Lobito,AO,77.25,broken clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
684,Cotonou,BJ,84.2,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
685,Guane,CU,74.79,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
687,Meulaboh,ID,75.49,broken clouds,4.1363,96.1285,Kost Pria
692,Belmonte,BR,82.4,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
699,Nkhotakota,MW,75.99,light rain,-12.9274,34.2961,Sitima Inn
701,Minas,UY,71.01,moderate rain,-34.3759,-55.2377,Hotel Minas
710,Corrientes,AR,75.2,broken clouds,-27.4806,-58.8341,Gran Hotel Guaraní
719,Diamantino,BR,86.85,broken clouds,-14.4086,-56.4461,Hotel Delta
720,Chimbote,PE,76.82,broken clouds,-9.0853,-78.5783,Hotel Briliá
